Name,Platform,Publisher,Developer,Total Sales,Critic_Score,User_Score,Year
Sword Art Online: Lost Song,PS4,Namco Bandai Games,Namco Bandai Games,360000,6.3,6.2,2015
Legend of Kay Anniversary,PS4,Nordic Games,Neon Studios,150000,6.2,5.9,2015
Mortal Kombat X,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios,3490000,8.3,7.8,2015
Mortal Kombat X,XOne,Warner Bros. Interactive Entertainment,NetherRealm Studios,1380000,8.6,7.5,2015
Disgaea 5: Alliance of Vengeance,PS4,NIS America,Nippon Ichi Software,350000,8,8.2,2015
Legend of Kay Anniversary,PS4,Nordic Games,Nordic Games,,6.2,5.9,2015
Bladestorm: Nightmare,PS4,Tecmo Koei,Omega Force,220000,5.8,6.2,2015
Samurai Warriors 4-II,PS4,Tecmo Koei,Omega Force,130000,7.3,6.9,2015
One Piece: Pirate Warriors 3,PS4,Tecmo Koei,Omega Force,520000,7.4,7.4,2015
Pro Evolution Soccer 2016,XOne,Konami Digital Entertainment,PES Productions,110000,8.5,6.1,2015
Pro Evolution Soccer 2016,PS4,Konami Digital Entertainment,PES Productions,820000,8.7,7.2,2015
Transformers: Devastation,XOne,Activision,PlatinumGames,140000,7.5,7.6,2015
Transformers: Devastation,PS4,Activision,PlatinumGames,240000,7.7,7.5,2015
MX vs. ATV Supercross Encore,PS4,Nordic Games,Rainbow Studios,60000,4.2,3.8,2015
Rare Replay,XOne,Microsoft Studios,Rare Ltd.,790000,8.4,8,2015
The Order: 1886,PS4,Sony Computer Entertainment,Ready at Dawn,1620000,6.2,6.6,2015
Zombie Army Trilogy,XOne,Rebellion Developments,Rebellion Developments,110000,6.2,6.9,2015
Zombie Army Trilogy,PS4,Rebellion Developments,Rebellion Developments,220000,6.2,6.8,2015
Trials Fusion,XOne,Ubisoft,RedLynx,240000,8.2,7.1,2015
Broken Sword 5: The Serpent's Curse,XOne,Revolution Software,Revolution Software,20000,7.7,7,2015
Tony Hawk's Pro Skater 5,PS4,Activision,Robomodo,230000,3.2,1.4,2015
Tony Hawk's Pro Skater 5,XOne,Activision,Robomodo,120000,3.9,2.1,2015
Batman: Arkham Knight,PS4,Warner Bros. Interactive,Rocksteady Studios,4110000.0000000009,8.1,7.8,2015
Batman: Arkham Knight,XOne,Warner Bros. Interactive Entertainment,Rocksteady Studios,1490000,8.5,6.8,2015
MLB 15: The Show,PS4,Sony Computer Entertainment,SCE San Diego Studio,,8,7.7,2015
God of War III Remastered,PS4,Sony Computer Entertainment Europe,SCEA Santa Monica Studio,,8.1,8,2015
God of War III Remastered,PS4,Sony Computer Entertainment,SCEA Santa Monica Studio,890000,8.1,8,2015
Earth Defense Force 4.1: The Shadow of New Despair,PS4,Xseed Games,Sandlot,190000,6.4,7.4,2015
Earth Defense Force 4.1: The Shadow of New Despair,PS4,Xseed Games,Sandlot,190000,6.4,7.4,2015
Toy Soldiers: War Chest,PS4,Ubisoft,Signal Studios,90000,6.2,7.2,2015
Toy Soldiers: War Chest,XOne,Ubisoft,Signal Studios,60000,6,8.3,2015
Project CARS,PS4,Bandai Namco Games,Slightly Mad Studios,1280000,8.3,6.6,2015
Project CARS,XOne,Bandai Namco Games,Slightly Mad Studios,260000,8.1,5.8,2015
Final Fantasy XIV: Heavensward,PS4,Square Enix,Square Enix,170000,8.6,8.3,2015
Final Fantasy Type-0 HD,PS4,Square Enix,Square Enix,1040000,7.2,7.5,2015
Final Fantasy X / X-2 HD Remaster,PS4,Square Enix,Square Enix,900000,8.4,8.7,2015
Final Fantasy Type-0 HD,XOne,Square Enix,Square Enix,,7.2,8.3,2015
Brothers: A Tale of Two Sons,PS4,505 Games,Starbreeze Studios,150000,8.1,7.9,2015
Until Dawn,PS4,Sony Computer Entertainment,Supermassive Games Ltd.,1900000,7.9,8.3,2015
Onechanbara Z2: Chaos,PS4,NIS America,Tamsoft,280000,5.7,6.8,2015
Dying Light,PS4,Warner Bros. Interactive,Techland,2450000,7.4,7.9,2015
