Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
3555,WWE 2K18,XOne,2K Sports,Yuke's,6.7,4.8,0.66,2017
3631,Tales of Berseria,PS4,Namco Bandai Games,Namco Bandai Games,7.9,7,0.65,2017
3768,South Park: The Fractured But Whole,XOne,Ubisoft,Ubisoft San Francisco,8.4,7.7,0.62,2017
3772,F1 2017,PS4,Deep Silver,Codemasters,8.6,7.6,0.62,2017
3819,Knowledge is Power,PS4,Sony Interactive Entertainment,Wish Studio,7.1,7.5,0.61,2017
3866,L.A. Noire,PS4,Rockstar Games,Team Bondi,7.6,7.9,0.6,2017
3959,Hidden Agenda,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,6.6,6.6,0.59,2017
3975,Call of Duty: Modern Warfare Remastered,PS4,Activision,Infinity Ward,8.3,6.9,0.58,2017
3987,Tekken 7,XOne,Namco Bandai Games,Namco Bandai Games,8.1,6.3,0.58,2017
4061,LEGO Marvel Super Heroes 2,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,7.4,7.4,0.57,2017
4114,NHL 18,PS4,EA Sports,EA Canada,7.5,3.5,0.57,2017
4119,Everybody's Golf,PS4,Sony Interactive Entertainment,Clap Hanz,8.1,7.8,0.56,2017
4170,DOOM VFR,PS4,Bethesda Softworks,id Software,7.1,8,0.56,2017
4187,Sonic Forces,PS4,Sega,Sonic Team,5.7,6.9,0.56,2017
4219,Sniper Elite 4,PS4,Rebellion Developments,Rebellion Developments,7.7,6.9,0.55,2017
4257,Project CARS 2,PS4,Namco Bandai Games,Slightly Mad Studios,8.2,6.1,0.55,2017
4481,Halo Wars 2,XOne,Microsoft Studios,Creative Assembly,7.9,6,0.51,2017
4555,Attack on Titan,PS4,Tecmo Koei,Omega Force,7.4,7,0.5,2017
4689,DiRT 4,PS4,Deep Silver,Codemasters,8.5,7.5,0.49,2017
4710,Farpoint,PS4,Sony Interactive Entertainment,Impulse Gear,7.1,8.1,0.48,2017
4745,Friday the 13th: The Game,PS4,Gun Media,IllFonic,6.1,6.2,0.48,2017
4844,Knack 2,PS4,Sony Interactive Entertainment,SIE Japan Studio,6.7,7.6,0.47,2017
4993,Yakuza Kiwami,PS4,Sega,Sega,8,8.1,0.45,2017
5239,Hello Neighbor,XOne,Gearbox Software,Dynamic Pixels,4.2,4.3,0.42,2017
5594,NHL 18,XOne,EA Sports,EA Canada,7.7,3.8,0.39,2017
5624,The Evil Within 2,XOne,Bethesda Softworks,Tango Gameworks,8.2,9.1,0.39,2017
5652,Little Nightmares,PS4,Namco Bandai Games,Tarsier Studios,7.8,7.9,0.39,2017
5886,Okami HD,PS4,Capcom,Clover Studio,8.7,8,0.36,2017
5904,Sniper: Ghost Warrior 3,PS4,City Interactive,City Interactive,5.5,6.4,0.36,2017
6046,Gravity Rush 2,PS4,Sony Interactive Entertainment,SIE Japan Studio,8,8.1,0.35,2017
6097,Marvel vs. Capcom: Infinite,XOne,Capcom,Capcom,7.7,5,0.34,2017
6200,Dishonored: Death of the Outsider,PS4,Bethesda Softworks,Arkane Studios,8.2,7,0.33,2017
6569,Sonic Mania,PS4,Sega,PagodaWest Games,8.6,8.4,0.31,2017
6665,LEGO City Undercover,XOne,Warner Bros. Interactive Entertainment,TT Fusion,7.7,6.8,0.3,2017
6707,Just Dance 2018,PS4,Ubisoft,Ubisoft Paris,7.5,5.9,0.3,2017
6741,Sniper Elite 4,XOne,Rebellion Developments,Rebellion Developments,8.1,7.4,0.3,2017
6860,Cars 3: Driven to Win,PS4,Warner Bros. Interactive Entertainment,Avalanche Software,7.2,5.9,0.29,2017
6905,Sonic Forces,XOne,Sega,Sonic Team,6.2,7.2,0.29,2017
7069,Gundam Versus,PS4,Namco Bandai Games,Namco Bandai Games,7.3,6.4,0.28,2017
7249,Fate/Extella: The Umbral Star,PS4,Xseed Games,Marvelous Entertainment,6.7,7,0.27,2017
7278,Friday the 13th: The Game,XOne,Gun Media,IllFonic,5.3,5.5,0.27,2017
7334,Ultimate Marvel vs. Capcom 3,PS4,Capcom,Capcom,7.7,7.2,0.26,2017
7497,L.A. Noire,XOne,Rockstar Games,Team Bondi,7.7,7.8,0.25,2017
7576,Danganronpa V3: Killing Harmony,PS4,NIS America,Spike Chunsoft,8.1,7.9,0.25,2017
7684,NBA Live 18,PS4,EA Sports,EA Sports,7.2,6,0.24,2017
7726,.hack//G.U. Last Recode,PS4,Namco Bandai Games,CyberConnect2,7.6,7.9,0.24,2017
7767,The Escapists 2,PS4,Sold Out,Team17 Software,7.6,7,0.24,2017
7828,The Elder Scrolls Online: Morrowind,PS4,Bethesda Softworks,ZeniMax Online Studios,7.5,6,0.24,2017
7854,Digimon World: Next Order,PS4,Namco Bandai Games,Bandai Namco Games,6.8,6.4,0.24,2017
7958,Elex,PS4,THQ Nordic,Piranha Bytes,5.8,6.4,0.23,2017
8092,DiRT 4,XOne,Deep Silver,Codemasters,8.6,6.7,0.23,2017
8136,Dead by Daylight,PS4,505 Games,Behaviour Interactive Inc.,6.4,6.1,0.22,2017
8282,Super Lucky's Tale,XOne,Microsoft Studios,Playful Corp.,6.5,6.9,0.22,2017
8333,Senran Kagura: Peach Beach Splash,PS4,Xseed Games,Marvelous Entertainment,7,7.1,0.21,2017
8469,Dragon's Dogma: Dark Arisen,PS4,Capcom,Capcom,7.8,8.2,0.21,2017
8476,NBA Live 18,XOne,EA Sports,EA Sports,7.2,5.3,0.21,2017
8657,Project CARS 2,XOne,Namco Bandai Games,Slightly Mad Studios,8.4,5.6,0.2,2017
8716,Agents of Mayhem,PS4,Deep Silver,Volition Inc.,6.2,6.6,0.2,2017
8854,Elite: Dangerous,PS4,Frontier Developments,Frontier Developments,7.7,7.1,0.19,2017
8996,The Surge,PS4,Focus Home Interactive,DECK13 Interactive,7.3,6.8,0.19,2017
9037,F1 2017,XOne,Deep Silver,Codemasters,8.4,7.2,0.19,2017
9125,Resident Evil: Revelations,PS4,Capcom,Capcom,7.2,7.2,0.18,2017
9251,Sniper: Ghost Warrior 3,XOne,City Interactive,City Interactive,5.7,6.3,0.18,2017
9419,Final Fantasy XIV: Stormblood,PS4,Square Enix,Square Enix,8.9,8.6,0.17,2017
9571,Ride 2,PS4,Milestone S.r.l,Milestone S.r.l.,6.9,6.3,0.16,2017
9587,Dead Rising 4: Frank's Big Package,PS4,Capcom,Capcom,7.2,5.3,0.16,2017
9646,Little Nightmares,XOne,Namco Bandai Games,Tarsier Studios,8.3,7.7,0.16,2017
9661,Berserk and the Band of the Hawk,PS4,Tecmo Koei,Omega Force,6.6,6.7,0.16,2017
9762,Valkyria Revolution,PS4,Sega,Media.Vision,5.4,5.9,0.16,2017
10039,The Escapists 2,XOne,Sold Out,Team17 Software,7.7,5.8,0.15,2017
10104,Toukiden 2,PS4,Tecmo Koei,Omega Force,7.7,7.6,0.15,2017
10214,Cyberdimension Neptunia: 4 Goddesses Online,PS4,Idea Factory International,Compile Heart,7.1,7.2,0.14,2017
10418,Dishonored: Death of the Outsider,XOne,Bethesda Softworks,Arkane Studios,8.4,6.7,0.14,2017
10504,MotoGP 17,PS4,Koch Media,Milestone S.r.l.,6.8,3.4,0.14,2017
10529,The Elder Scrolls Online: Morrowind,XOne,Bethesda Softworks,ZeniMax Online Studios,7.6,5.6,0.14,2017
10730,NASCAR Heat 2,PS4,704Games,Monster Games,6.6,6.2,0.13,2017
10756,Bulletstorm: Full Clip Edition,PS4,Gearbox Software,People Can Fly,7.5,6.9,0.13,2017
10900,Sonic Mania,XOne,Sega,PagodaWest Games,8.3,8.2,0.13,2017
10923,Utawarerumono: Mask of Truth,PS4,Atlus,Aqua Plus,7.5,7.6,0.13,2017
10973,Utawarerumono: Mask of Deception,PS4,Atlus,Aqua Plus,6.8,7.2,0.13,2017
11141,Job Simulator,PS4,Sony Interactive Entertainment,Owlchemy Labs,7.1,7,0.12,2017
11147,Dead by Daylight,XOne,505 Games,Behaviour Interactive Inc.,5.8,6.2,0.12,2017
11151,Portal Knights,PS4,505 Games,Keen Games,7.1,6.5,0.12,2017
11248,The Surge,XOne,Focus Home Interactive,DECK13 Interactive,7.4,7.3,0.12,2017
11274,Danganronpa 1-2 Reload,PS4,NIS America,Spike Chunsoft,8.3,8.1,0.12,2017
11330,Pro Evolution Soccer 2018,XOne,Konami Digital Entertainment,Konami Digital Entertainment,8.2,6.4,0.12,2017
11717,RiME,PS4,Grey Box,Tequila Works,7.1,7.7,0.11,2017
11723,Agents of Mayhem,XOne,Deep Silver,Volition Inc.,7.3,6.4,0.11,2017
12024,Tokyo Xanadu eX+,PS4,Aksys Games,Nihon Falcom Corporation,7.5,7.4,0.1,2017
12032,Stardew Valley,PS4,505 Games,ConcernedApe,8.8,7.6,0.1,2017
12105,Warriors All-Stars,PS4,Tecmo Koei,Omega Force,7,6.5,0.1,2017
12125,Mega Man Legacy Collection 2,PS4,Capcom,Capcom,7.1,7.2,0.1,2017
12185,Puyo Puyo Tetris,PS4,Sega,Sonic Team,8.3,7.4,0.1,2017
12207,Sudden Strike 4,PS4,Kalypso Media,Kite Games,6.3,7.2,0.1,2017
12241,Accel World vs. Sword Art Online: Millennium Twilight,PS4,Namco Bandai Games,Namco Bandai Games,6.4,6.1,0.1,2017
12426,Yooka-Laylee,XOne,Sold Out,Playtonic Games,7.3,9.3,0.1,2017
12726,Summon Night 6: Lost Borders,PS4,Gaijinworks,Media.Vision,7.1,6.7,0.09,2017
12733,Dark Rose Valkyrie,PS4,Idea Factory International,Compile Heart,5.8,6.4,0.09,2017
12955,Ride 2,XOne,Milestone S.r.l,Milestone S.r.l.,6.6,7.4,0.08,2017
12972,Elite: Dangerous,XOne,Frontier Developments,Frontier Developments,8,7.2,0.08,2017
13049,Bulletstorm: Full Clip Edition,XOne,Gearbox Software,People Can Fly,8.2,7.3,0.08,2017
13066,The Sexy Brutale,PS4,Badland Games,Tequila Works,7.7,7.6,0.08,2017
13212,Atelier Firis: The Alchemist and the Mysterious Journey,PS4,Tecmo Koei,Gust,7.4,7,0.08,2017
13362,Akiba's Beat,PS4,Xseed Games,Acquire,5.5,6.7,0.08,2017
13405,God Wars: Future Past,PS4,NIS America,Kadokawa Games,7.4,7.1,0.07,2017
13453,Samurai Warriors: Spirit of Sanada,PS4,Tecmo Koei,Omega Force,7.4,6.8,0.07,2017
13521,Has-Been Heroes,PS4,GameTrust,Frozenbyte,6.1,6.5,0.07,2017
13547,Styx: Shards of Darkness,PS4,Focus Home Interactive,Cyanide Studio,7.2,7.1,0.07,2017
13596,The Silver Case,PS4,NIS America,Grasshopper Manufacture,6.4,6.2,0.07,2017
13662,Disneyland Adventures,XOne,Microsoft Studios,Asobo Studio,6.7,6.9,0.07,2017
13690,WRC 7,PS4,Bigben Interactive,Kylotonn Entertainment,7,7.2,0.07,2017
14013,Aven Colony,XOne,Sold Out,Mothership Entertainment,7.7,7.2,0.06,2017
14068,Birthdays the Beginning,PS4,NIS America,Arc System Works,6.5,6.5,0.06,2017
14087,Rugby 18,PS4,Koch Media,EKO Software,4.1,4.7,0.06,2017
14292,Killing Floor 2,XOne,Tripwire Interactive,Tripwire Interactive,7.9,6.5,0.06,2017
14353,Yomawari: Midnight Shadows,PS4,NIS America,Nippon Ichi Software,7.7,6.8,0.06,2017
14361,Okami HD,XOne,Capcom,Clover Studio,8.7,8.2,0.06,2017
14400,Outcast: Second Contact,PS4,Maximum Games,Bigben Interactive,6.1,7.2,0.06,2017
14508,Sine Mora EX,PS4,THQ Nordic,Digital Reality,8.1,7.6,0.06,2017
14534,Aven Colony,PS4,Sold Out,Mothership Entertainment,7.3,6.9,0.06,2017
14539,Battle Chasers: Nightwar,PS4,THQ Nordic,Airship Syndicate,7.5,6.5,0.06,2017
14593,Styx: Shards of Darkness,XOne,Focus Home Interactive,Cyanide Studio,7.2,7.5,0.06,2017
14702,Black Mirror,PS4,THQ Nordic,KING Art Games,5.4,5.4,0.05,2017
14714,Touhou Genso Wanderer,PS4,NIS America,AQUA STYLE,7,6.7,0.05,2017
14765,Starblood Arena,PS4,Sony Interactive Entertainment,WhiteMoon Dreams,6.8,7.3,0.05,2017
14772,Bubsy: The Woolies Strike Back,PS4,Accolade,Black Forest Games,4.5,5.8,0.05,2017
15024,Cars 3: Driven to Win,XOne,Warner Bros. Interactive Entertainment,Avalanche Software,5.9,7,0.05,2017
15145,WRC 7,XOne,Bigben Interactive,Kylotonn Entertainment,7,7.7,0.05,2017
15340,That's You!,PS4,Sony Interactive Entertainment,Wish Studio,7,7.1,0.04,2017
15347,Raid: World War II,PS4,505 Games,Lion Game Lion,4.6,3.5,0.04,2017
15385,Vikings: Wolves of Midgard,PS4,Kalypso Media,Games Farm,6.7,6.6,0.04,2017
15433,Dragon's Dogma: Dark Arisen,XOne,Capcom,Capcom,8,8.3,0.04,2017
15497,Valkyria Revolution,XOne,Sega,Media.Vision,5.6,5.6,0.04,2017
15659,Elex,XOne,THQ Nordic,Piranha Bytes,6.2,6.4,0.04,2017
15697,Battle Chasers: Nightwar,XOne,THQ Nordic,Airship Syndicate,8.4,6.6,0.04,2017
15716,Yonder: The Cloud Catcher Chronicles,PS4,CokeM Interactive,Prideful Sloth,6.4,7.7,0.04,2017
15777,Danganronpa Another Episode: Ultra Despair Girls,PS4,NIS America,Spike Chunsoft,6.7,7,0.04,2017
15832,Dead Alliance,XOne,Maximum Games,IllFonic,4.3,3.4,0.04,2017
15899,ABZU,PS4,505 Games,Giant Squid Studios,7.8,7.6,0.04,2017
15941,Shadow Tactics: Blades of the Shogun,PS4,Kalypso Media,Mimimi Productions,8.5,7.9,0.04,2017
16315,Dynasty Warriors: Godseekers,PS4,Tecmo Koei,Omega Force,7,6.6,0.03,2017
16316,Black Mirror,XOne,THQ Nordic,KING Art Games,5.7,2.9,0.03,2017
16393,Raid: World War II,XOne,505 Games,Lion Game Lion,4.6,6.1,0.03,2017
16504,Troll and I,PS4,Maximum Games,Spiral House,3.9,4.6,0.03,2017
16517,Carmageddon: Max Damage,XOne,Stainless Games,Stainless Games,5.2,7.2,0.03,2017
16628,Road Rage,PS4,Maximum Games,Team 6 Games Studio,2.6,2.3,0.03,2017
16714,Stardew Valley,XOne,505 Games,ConcernedApe,8.8,7.7,0.03,2017
16778,Baja: Edge of Control HD,PS4,THQ Nordic,2XL Games,6.5,5.9,0.03,2017
16845,The Town of Light,PS4,Wired Productions,LKA,6.7,6.1,0.03,2017
16870,Zero Escape: Zero Time Dilemma,PS4,Rising Star Games,Chime,8,6.8,0.03,2017
16876,AereA,PS4,Soedesco,Triangle Studios,4.6,1.8,0.03,2017
17007,Touhou Kobuto V: Burst Battle,PS4,NIS America,CUBETYPE,4.2,3,0.03,2017
17111,Redout,PS4,505 Games,Nicalis,8.1,7.4,0.02,2017
17146,PaRappa the Rapper Remastered,PS4,Sony Interactive Entertainment,SIE Japan Studio,6.1,5.3,0.02,2017
17413,Tricky Towers,PS4,Soedesco,WeirdBeard,7.2,7,0.02,2017
